,kickoff_time_formatted,team_h_score,team_a_score,was_home,total_points,value,selected,transfers_in,transfers_out,transfers_balance,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,ea_index,open_play_crosses,big_chances_created,clearances_blocks_interceptions,recoveries,key_passes,tackles,winning_goals,attempted_passes,completed_passes,penalties_conceded,big_chances_missed,errors_leading_to_goal,tackled,offside,target_missed,fouls,dribbles,fixture,opponent_team
1,20 Aug 20:00,0.0,2.0,0.0,6.0,6.0,930992.0,27137.0,36937.0,-9800.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,26.4,1.7,4.0,3.2,0.0,0.0,0.0,9.0,2.0,0.0,2.0,0.0,79.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,15.0,Crystal Palace
2,25 Aug 17:30,1.0,0.0,1.0,8.0,6.0,961887.0,33865.0,51809.0,-17944.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,29.0,24.2,3.8,2.0,3.0,0.0,0.0,0.0,3.0,8.0,0.0,0.0,0.0,117.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,25.0,Brighton
3,01 Sep 12:30,1.0,2.0,0.0,1.0,6.0,1009383.0,40281.0,34513.0,5768.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,20.6,0.3,0.0,2.1,0.0,0.0,0.0,12.0,2.0,0.0,0.0,0.0,65.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,37.0,Leicester
4,15 Sep 12:30,1.0,2.0,0.0,2.0,6.0,966526.0,13822.0,78330.0,-64508.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,8.6,0.8,8.0,1.7,0.0,0.0,0.0,6.0,4.0,0.0,1.0,0.0,28.0,22.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,48.0,Spurs
5,22 Sep 15:00,3.0,0.0,1.0,1.0,6.0,974407.0,20932.0,32430.0,-11498.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,24.0,0.8,0.0,2.5,0.0,0.0,0.0,5.0,2.0,0.0,2.0,0.0,65.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,Southampton
6,29 Sep 17:30,1.0,1.0,0.0,2.0,6.0,842799.0,3042.0,132692.0,-129650.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,33.0,1.2,6.0,4.0,0.0,0.0,0.0,12.0,6.0,0.0,0.0,0.0,90.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,Chelsea
7,07 Oct 16:30,0.0,0.0,1.0,6.0,5.9,835869.0,8804.0,26494.0,-17690.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,18.6,0.4,0.0,1.9,0.0,0.0,0.0,9.0,5.0,0.0,0.0,0.0,75.0,70.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,76.0,Man City
8,20 Oct 17:30,0.0,1.0,0.0,8.0,5.9,823459.0,17625.0,39559.0,-21934.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,28.0,25.6,0.5,2.0,2.8,0.0,0.0,0.0,11.0,4.0,0.0,0.0,0.0,51.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,Huddersfield
9,27 Oct 15:00,4.0,1.0,1.0,2.0,5.9,885332.0,56191.0,9307.0,46884.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,12.2,2.6,8.0,2.3,0.0,0.0,0.0,5.0,8.0,0.0,0.0,0.0,102.0,95.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,96.0,Cardiff
10,03 Nov 17:30,1.0,1.0,0.0,2.0,5.9,886768.0,22392.0,24374.0,-1982.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,31.0,0.5,40.0,7.2,0.0,0.0,0.0,10.0,4.0,0.0,1.0,0.0,36.0,34.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,101.0,Arsenal
