entry,value
player_id,246
web_name,van Dijk
team,Liverpool
first_name,Virgil
second_name,van Dijk
cost_end,6.7
value_form,1.0
value_season,31.0
cost_change_start,0.7
cost_start,6.0
dreamteam_count,4
selected_by_percent,32.3
total_points,208
ppg,5.5
minutes,3384
goals_scored,4
assists,4
clean_sheets,20
goals_conceded,22
own_goals,0
penalties_saved,0
penalties_missed,0
yellow_cards,1
red_cards,0
saves,0
bonus,22
bps,932
influence,993.6
creativity,111.1
threat,455.0
ict_index,156.1
ea_index,0
position,Defender
