,kickoff_time_formatted,team_h_score,team_a_score,was_home,total_points,value,selected,transfers_in,transfers_out,transfers_balance,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,ea_index,open_play_crosses,big_chances_created,clearances_blocks_interceptions,recoveries,key_passes,tackles,winning_goals,attempted_passes,completed_passes,penalties_conceded,big_chances_missed,errors_leading_to_goal,tackled,offside,target_missed,fouls,dribbles,fixture,opponent_team
1,18 Aug 17:30,3.0,2.0,0.0,2.0,8.5,235965.0,9231.0,38683.0,-29452.0,67.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.3,12.0,1.5,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,18.0,15.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,14.0,Chelsea
2,25 Aug 15:00,3.0,1.0,1.0,0.0,8.4,201485.0,10515.0,52049.0,-41534.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,West Ham
3,02 Sep 13:30,2.0,3.0,0.0,2.0,8.3,159335.0,2760.0,48899.0,-46139.0,83.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,9.0,21.8,6.0,3.7,0.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,47.0,39.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,1.0,33.0,Cardiff
4,15 Sep 15:00,1.0,2.0,0.0,10.0,8.3,149837.0,5554.0,20124.0,-14570.0,90.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,35.0,44.0,47.3,23.0,11.4,0.0,1.0,0.0,0.0,4.0,3.0,0.0,1.0,38.0,34.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,46.0,Newcastle
5,23 Sep 16:00,2.0,0.0,1.0,3.0,8.3,168695.0,20664.0,6901.0,13763.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,19.0,26.8,8.0,5.4,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,38.0,30.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,51.0,Everton
6,29 Sep 15:00,2.0,0.0,1.0,10.0,8.3,174948.0,13529.0,10055.0,3474.0,90.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,28.0,42.2,30.7,19.0,9.2,0.0,1.0,0.0,0.0,5.0,1.0,0.0,0.0,64.0,57.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,61.0,Watford
7,07 Oct 12:00,1.0,5.0,0.0,0.0,8.3,243629.0,65987.0,6998.0,58989.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,Fulham
8,22 Oct 20:00,3.0,1.0,1.0,12.0,8.3,223066.0,21552.0,39263.0,-17711.0,79.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,50.0,65.8,54.9,21.0,14.2,0.0,0.0,2.0,0.0,2.0,4.0,0.0,0.0,67.0,62.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,81.0,Leicester
9,28 Oct 13:30,2.0,2.0,0.0,2.0,8.4,410002.0,175970.0,9195.0,166775.0,67.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,7.4,15.1,2.0,2.5,0.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,37.0,33.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,93.0,Crystal Palace
10,03 Nov 17:30,1.0,1.0,1.0,2.0,8.4,338057.0,19957.0,79640.0,-59683.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,13.8,53.2,8.0,7.5,0.0,1.0,0.0,0.0,3.0,4.0,0.0,0.0,46.0,39.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,101.0,Liverpool
11,11 Nov 16:30,1.0,1.0,1.0,1.0,8.4,348419.0,35372.0,33518.0,1854.0,74.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,14.0,12.6,29.2,2.0,4.4,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,80.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,111.0,Wolves
