,team_h_score,team_a_score,was_home,opponent_team
1,0,2,True,Man City
2,3,2,False,Chelsea
3,3,1,True,West Ham
4,2,3,False,Cardiff
5,1,2,False,Newcastle
6,2,0,True,Everton
7,2,0,True,Watford
8,1,5,False,Fulham
9,3,1,True,Leicester
10,2,2,False,Crystal Palace
11,1,1,True,Liverpool
12,1,1,True,Wolves
13,1,2,False,Bournemouth
14,4,2,True,Spurs
15,2,2,False,Man Utd
16,1,0,True,Huddersfield
17,3,2,False,Southampton
18,3,1,True,Burnley
19,1,1,False,Brighton
20,5,1,False,Liverpool
21,4,1,True,Fulham
22,1,0,False,West Ham
23,2,0,True,Chelsea
24,2,1,True,Cardiff
25,3,1,False,Man City
26,1,2,False,Huddersfield
27,2,0,True,Southampton
28,5,1,True,Bournemouth
29,1,1,False,Spurs
30,2,0,True,Man Utd
31,2,0,True,Newcastle
32,1,0,False,Everton
33,0,1,False,Watford
34,2,3,True,Crystal Palace
35,3,1,False,Wolves
36,3,0,False,Leicester
37,1,1,True,Brighton
38,1,3,False,Burnley
