,was_home,opponent_team,team_score,opponent_score
1,False,Watford,0,2
2,True,Man Utd,3,2
3,False,Liverpool,0,1
4,True,Fulham,2,2
5,False,Southampton,2,2
6,True,Spurs,1,2
7,False,Man City,0,2
8,True,West Ham,1,0
9,False,Newcastle,1,0
10,True,Wolves,1,0
11,False,Everton,1,3
12,False,Cardiff,1,2
13,True,Leicester,1,1
14,False,Huddersfield,2,1
15,True,Crystal Palace,3,1
16,False,Burnley,0,1
17,True,Chelsea,1,2
18,False,Bournemouth,0,2
19,True,Arsenal,1,1
20,True,Everton,1,0
21,False,West Ham,2,2
22,True,Liverpool,0,1
23,False,Man Utd,1,2
24,False,Fulham,2,4
25,True,Watford,0,0
26,True,Burnley,1,3
27,False,Leicester,1,2
28,True,Huddersfield,1,0
29,False,Crystal Palace,2,1
30,True,Southampton,0,1
31,False,Chelsea,0,3
32,True,Bournemouth,0,5
33,True,Cardiff,0,2
34,False,Wolves,0,0
35,False,Spurs,0,1
36,True,Newcastle,1,1
37,False,Arsenal,1,1
38,True,Man City,1,4
