,was_home,opponent_team,team_score,opponent_score
1,False,Southampton,0,0
2,True,Watford,1,3
3,False,Fulham,2,4
4,True,Man Utd,0,2
5,False,Wolves,0,1
6,True,Bournemouth,4,0
7,False,Cardiff,2,1
8,True,Huddersfield,1,1
9,False,Man City,0,5
10,True,Chelsea,0,4
11,False,West Ham,2,4
12,False,Leicester,0,0
13,True,Newcastle,1,2
14,False,Crystal Palace,0,2
15,True,Liverpool,1,3
16,True,Brighton,1,0
17,False,Spurs,0,1
18,False,Arsenal,1,3
19,True,Everton,1,5
20,True,West Ham,2,0
21,False,Huddersfield,2,1
22,True,Fulham,2,1
23,False,Watford,0,0
24,False,Man Utd,2,2
25,True,Southampton,1,1
26,False,Brighton,3,1
27,True,Spurs,2,1
28,False,Newcastle,0,2
29,True,Crystal Palace,1,3
30,False,Liverpool,2,4
31,True,Leicester,1,2
32,True,Wolves,2,0
33,False,Bournemouth,3,1
34,True,Cardiff,2,0
35,False,Chelsea,2,2
36,True,Man City,0,1
37,False,Everton,0,2
38,True,Arsenal,1,3
