,was_home,opponent_team,team_score,opponent_score
1,True,Crystal Palace,0,2
2,False,Spurs,1,3
3,True,Burnley,4,2
4,False,Brighton,2,2
5,False,Man City,0,3
6,True,Watford,1,1
7,False,Everton,0,3
8,True,Arsenal,1,5
9,False,Cardiff,2,4
10,True,Bournemouth,0,3
11,False,Huddersfield,0,1
12,False,Liverpool,0,2
13,True,Southampton,3,2
14,False,Chelsea,0,2
15,True,Leicester,1,1
16,False,Man Utd,1,4
17,True,West Ham,0,2
18,False,Newcastle,0,0
19,True,Wolves,1,1
20,True,Huddersfield,1,0
21,False,Arsenal,1,4
22,False,Burnley,1,2
23,True,Spurs,1,2
24,True,Brighton,4,2
25,False,Crystal Palace,0,2
26,True,Man Utd,0,3
27,False,West Ham,1,3
28,False,Southampton,0,2
29,True,Chelsea,1,2
30,False,Leicester,1,3
31,True,Liverpool,1,2
32,True,Man City,0,2
33,False,Watford,1,4
34,True,Everton,2,0
35,False,Bournemouth,1,0
36,True,Cardiff,1,0
37,False,Wolves,0,1
38,True,Newcastle,0,4
